keys,en,ja,ko,zh_Hans,zh_Hant,de,fr,es,pt_BR,it,ar,ru
ENTITY_GLASS,Glass,ガラス,유리,玻璃,玻璃,Glas,Verre,Vidrio,Vidro,Vetro,زجاج,Стекло
ENTITY_CHARCOAL,Charcoal,木炭,숯,木炭,木炭,Holzkohle,Charbon de bois,Carbón vegetal,Carvão vegetal,Carbone,فحم,Уголь
ENTITY_ICE,Ice,氷,얼음,冰,冰,Eis,Glace,Hielo,Gelo,Ghiaccio,جليد,Лёд
ENTITY_DESCRIPTION_ICE,Frozen water that is slippery underfoot. It forms in cold biomes and melts back into water in warm places.,凍った水です。足元が滑りやすく寒いバイオームで生まれ暖かい場所では水に戻ります。,얼어붙은 물입니다. 발밑이 미끄럽고 추운 생물군계에서 생기며 따뜻한 곳에서는 다시 물로 녹습니다.,冻结的水。脚下很滑会在寒冷生物群系中形成并在温暖地区融化成水。,凍結的水。腳下很滑會在寒冷生態域中形成並在溫暖地區融化成水。,Gefrorenes Wasser mit rutschiger Oberfläche. Es entsteht in kalten Biomen und schmilzt an warmen Orten wieder zu Wasser.,De l’eau gelée au sol glissant. Elle se forme dans les biomes froids et redevient de l’eau dans les lieux chauds.,Agua congelada con una superficie resbaladiza. Se forma en biomas fríos y vuelve a ser agua en lugares cálidos.,Água congelada com uma superfície escorregadia. Forma-se em biomas frios e derrete em água em lugares quentes.,Acqua congelata dalla superficie scivolosa. Si forma nei biomi freddi e torna acqua nei luoghi caldi.,مياه متجمدة ذات سطح زلق. تتشكّل في المناطق الأحيائية الباردة وتذوب إلى ماء في الأماكن الدافئة.,Замёрзшая вода со скользкой поверхностью. Образуется в холодных биомах и снова тает в воду в тёплых местах.
ENTITY_STONE_PICKAXE,Stone Pickaxe,石のつるはし,돌 곡괭이,石镐,石鎬,Steinspitzhacke,Pioche en pierre,Pico de piedra,Picareta de pedra,Piccone di pietra,معول حجري,Каменная кирка
ENTITY_DESCRIPTION_STONE_PICKAXE,Mines blocks 35% faster while selected.,選択中はブロックを35%速く採掘します。,선택 중에는 블록을 35% 더 빠르게 채굴합니다.,选中时挖掘方块的速度提高35%。,選取時挖掘方塊的速度提高35%。,Baut Blöcke 35 % schneller ab solange sie ausgewählt ist.,Mine les blocs 35 % plus vite lorsqu'elle est sélectionnée.,Extrae bloques un 35 % más rápido mientras está seleccionado.,Minera blocos 35% mais rápido enquanto estiver selecionada.,Estrae i blocchi il 35% più velocemente quando è selezionato.,يعدّن الكتل أسرع بنسبة 35% عند تحديده.,Добывает блоки на 35% быстрее пока выбрана.
ENTITY_TRAIL_BOOTS,Trail Boots,旅人のブーツ,탐험 장화,旅行靴,旅行靴,Wanderstiefel,Bottes de randonnée,Botas de sendero,Botas de trilha,Stivali da viaggio,حذاء الرحلات,Походные ботинки
ENTITY_DESCRIPTION_TRAIL_BOOTS,Move 15% faster and jump 5% higher while selected.,選択中は移動が15%速くなりジャンプが5%高くなります。,선택 중에는 15% 더 빠르게 이동하고 5% 더 높이 점프합니다.,选中时移动速度提高15%且跳跃高度提高5%。,選取時移動速度提高15%且跳躍高度提高5%。,Bewegt dich 15 % schneller und lässt dich 5 % höher springen solange sie ausgewählt sind.,Augmente la vitesse de 15 % et les sauts de 5 % lorsqu'elles sont sélectionnées.,Aumentan la velocidad un 15 % y el salto un 5 % mientras están seleccionadas.,Aumentam a velocidade em 15% e o salto em 5% enquanto estiverem selecionadas.,Aumentano la velocità del 15% e il salto del 5% quando sono selezionati.,يزيد سرعة الحركة 15% وارتفاع القفز 5% عند تحديده.,Ускоряют движение на 15% и усиливают прыжок на 5% пока выбраны.
GENERATION_IN_PROGRESS,Discovering something new…,新しいものを発見中…,새로운 것을 발견하는 중…,正在发现新事物…,正在探索新事物…,Etwas Neues wird entdeckt…,Découverte en cours…,Descubriendo algo nuevo…,Descobrindo algo novo…,Scoperta in corso…,جارٍ اكتشاف شيء جديد…,Открываем что-то новое…
DISCOVERY_WAIT_BLOCKS,Interrogating the blocks…,ブロックを尋問中…,블록을 심문하는 중…,正在审问方块…,正在審問方塊…,Blöcke werden verhört…,Interrogatoire des blocs…,Interrogando a los bloques…,Interrogando os blocos…,Interrogando i blocchi…,استجواب الكتل…,Допрашиваем блоки…
DISCOVERY_WAIT_CHAOS,Adding a pinch of chaos…,カオスをひとつまみ…,혼돈 한 꼬집 추가 중…,加入一小撮混沌…,加入一小撮混沌…,Eine Prise Chaos kommt dazu…,Ajout d'une pincée de chaos…,Añadiendo una pizca de caos…,Adicionando uma pitada de caos…,Aggiungendo un pizzico di caos…,إضافة رشة من الفوضى…,Добавляем щепотку хаоса…
DISCOVERY_WAIT_EDIBLE,Checking if this is edible…,食べられるか確認中…,먹을 수 있는지 확인 중…,正在确认能不能吃…,正在確認能不能吃…,Prüfen ob das essbar ist…,Vérification de la comestibilité…,Comprobando si esto se come…,Verificando se isso é comestível…,Controllando se è commestibile…,نتحقق إن كان هذا صالحًا للأكل…,Проверяем съедобно ли это…
DISCOVERY_WAIT_PHYSICS,Negotiating with physics…,物理法則と交渉中…,물리 법칙과 협상 중…,正在和物理定律谈判…,正在和物理定律談判…,Mit der Physik wird verhandelt…,Négociation avec la physique…,Negociando con la física…,Negociando com a física…,Trattando con la fisica…,نتفاوض مع قوانين الفيزياء…,Договариваемся с физикой…
DISCOVERY_WAIT_SAFE,Making something probably safe…,たぶん安全なものを作成中…,아마도 안전한 것을 만드는 중…,正在制作大概安全的东西…,正在製作大概安全的東西…,Etwas vermutlich Sicheres entsteht…,Création de quelque chose probablement sans danger…,Creando algo probablemente seguro…,Criando algo provavelmente seguro…,Creando qualcosa di probabilmente sicuro…,نصنع شيئًا آمنًا على الأرجح…,Делаем что-то почти безопасное…
DISCOVERY_WAIT_EXPERTS,Consulting the tiny experts…,小さな専門家に相談中…,작은 전문가들과 상담 중…,正在咨询小小专家…,正在諮詢小小專家…,Die winzigen Experten beraten…,Consultation des mini-experts…,Consultando a los mini expertos…,Consultando os mini especialistas…,Consultando i mini esperti…,نستشير الخبراء الصغار…,Советуемся с крошечными экспертами…
DISCOVERY_WAIT_ALMOST,Almost understanding it…,もう少しで理解できそう…,거의 이해한 것 같아요…,好像快弄懂了…,好像快弄懂了…,Fast verstanden…,On a presque compris…,Casi lo entendemos…,Quase entendendo…,Ci siamo quasi…,أوشكنا على فهم الأمر…,Кажется мы почти поняли…
DISCOVERY_WAIT_EXPLODE,Please do not explode…,どうか爆発しませんように…,제발 폭발하지 마…,拜托千万别爆炸…,拜託千萬別爆炸…,Bitte nicht explodieren…,Pitié ne pas exploser…,Por favor no explotes…,Por favor não exploda…,Per favore non esplodere…,أرجوك لا تنفجر…,Пожалуйста не взрывайся…
GENERATION_FAILED,Discovery failed,発見に失敗しました,발견에 실패했습니다,发现失败,探索失敗,Entdeckung fehlgeschlagen,Échec de la découverte,El descubrimiento falló,A descoberta falhou,Scoperta non riuscita,فشل الاكتشاف,Не удалось создать открытие
DISCOVERY_ERROR_NETWORK,The tiny laboratory lost its connection. Try again.,小さな研究所の接続が切れました。もう一度お試しください。,작은 연구소의 연결이 끊겼어요. 다시 시도하세요.,小小实验室断线了。请重试。,小小實驗室斷線了。請重試。,Das kleine Labor hat die Verbindung verloren. Versuche es erneut.,Le petit laboratoire a perdu la connexion. Réessayez.,El pequeño laboratorio perdió la conexión. Inténtalo de nuevo.,O pequeno laboratório perdeu a conexão. Tente novamente.,Il piccolo laboratorio ha perso la connessione. Riprova.,فقد المختبر الصغير الاتصال. حاول مرة أخرى.,Маленькая лаборатория потеряла связь. Попробуйте снова.
DISCOVERY_ERROR_TIMEOUT,This discovery is taking longer than expected. Tap Retry to continue waiting.,この発見には予想以上に時間がかかっています。再試行して待ち続けてください。,발견이 예상보다 오래 걸리고 있어요. 다시 시도를 눌러 계속 기다리세요.,这次发现比预期更久。点击重试继续等待。,這次探索比預期更久。點擊重試繼續等待。,Diese Entdeckung dauert länger als erwartet. Tippe auf Erneut versuchen.,Cette découverte prend plus de temps que prévu. Touchez Réessayer.,Este descubrimiento tarda más de lo esperado. Pulsa Reintentar.,Esta descoberta está demorando mais que o esperado. Toque em Tentar novamente.,Questa scoperta richiede più tempo del previsto. Tocca Riprova.,يستغرق هذا الاكتشاف وقتًا أطول من المتوقع. اضغط إعادة المحاولة.,Открытие занимает больше времени. Нажмите «Повторить» и продолжите ожидание.
DISCOVERY_ERROR_LIMIT,No experiments left today. Come back tomorrow.,本日の実験回数を使い切りました。明日また来てください。,오늘의 실험 횟수를 모두 사용했어요. 내일 다시 오세요.,今天的实验次数已用完。明天再来吧。,今天的實驗次數已用完。明天再來吧。,Heute sind keine Experimente mehr übrig. Komm morgen wieder.,Plus d'expériences disponibles aujourd'hui. Revenez demain.,No quedan experimentos hoy. Vuelve mañana.,Não restam experimentos hoje. Volte amanhã.,Non restano esperimenti oggi. Torna domani.,لا توجد تجارب متبقية اليوم. عد غدًا.,На сегодня эксперименты закончились. Возвращайтесь завтра.
DISCOVERY_ERROR_INPUTS_CHANGED,The experiment ingredients changed. Assemble them again.,実験の材料が変わりました。もう一度組み合わせてください。,실험 재료가 바뀌었어요. 다시 조합하세요.,实验材料发生了变化。请重新组合。,實驗材料發生了變化。請重新組合。,Die Zutaten des Experiments haben sich geändert. Stelle sie erneut zusammen.,Les ingrédients de l'expérience ont changé. Assemblez-les à nouveau.,Los ingredientes del experimento cambiaron. Vuelve a reunirlos.,Os ingredientes do experimento mudaram. Monte-os novamente.,Gli ingredienti dell'esperimento sono cambiati. Assemblali di nuovo.,تغيرت مكونات التجربة. اجمعها مرة أخرى.,Ингредиенты эксперимента изменились. Соберите их заново.
DISCOVERY_RESULT_TITLE,New discovery!,新発見！,새로운 발견!,新发现！,新探索！,Neue Entdeckung!,Nouvelle découverte !,¡Nuevo descubrimiento!,Nova descoberta!,Nuova scoperta!,اكتشاف جديد!,Новое открытие!
DISCOVERY_WORLD_FIRST,WORLD FIRST!,世界初！,세계 최초!,全球首次！,全球首次！,WELTPREMIERE!,PREMIÈRE MONDIALE !,¡PRIMERO EN EL MUNDO!,PRIMEIRO DO MUNDO!,PRIMO AL MONDO!,الأول عالميًا!,ПЕРВОЕ В МИРЕ!
DISCOVERY_ALREADY_KNOWN,Known combination,既知の組み合わせ,알려진 조합,已知组合,已知組合,Bekannte Kombination,Combinaison connue,Combinación conocida,Combinação conhecida,Combinazione nota,تركيبة معروفة,Известная комбинация
DISCOVERY_PROPERTY_PHASE,Form,形態,형태,形态,形態,Form,Forme,Forma,Forma,Forma,الشكل,Форма
DISCOVERY_PROPERTY_SOLID,Solid,固体,고체,固体,固體,Fest,Solide,Sólido,Sólido,Solido,صلب,Твёрдая
DISCOVERY_PROPERTY_LIQUID,Liquid,液体,액체,液体,液體,Flüssig,Liquide,Líquido,Líquido,Liquido,سائل,Жидкая
DISCOVERY_PROPERTY_HARDNESS,Hardness,硬さ,경도,硬度,硬度,Härte,Dureté,Dureza,Dureza,Durezza,الصلابة,Твёрдость
DISCOVERY_PROPERTY_SPEED,Walking speed,歩行速度,이동 속도,行走速度,行走速度,Lauftempo,Vitesse de marche,Velocidad al caminar,Velocidade de caminhada,Velocità di cammino,سرعة المشي,Скорость ходьбы
DISCOVERY_PROPERTY_SPECIAL,Special,特殊,특성,特性,特性,Besonderheit,Spécial,Especial,Especial,Speciale,خاص,Особенности
DISCOVERY_PROPERTY_BOUNCY,Bouncy,弾む,통통 튐,弹性,彈性,Federnd,Rebondissant,Elástico,Quicante,Rimbalzante,نطاط,Прыгучая
DISCOVERY_PROPERTY_FLAMMABLE,Flammable,燃えやすい,가연성,可燃,易燃,Brennbar,Inflammable,Inflamable,Inflamável,Infiammabile,قابل للاشتعال,Горючая
DISCOVERY_PROPERTY_FALLING,Falls without support,支えがないと落下,지지대가 없으면 떨어짐,无支撑会下落,無支撐會下落,Fällt ohne Halt,Tombe sans support,Cae sin apoyo,Cai sem suporte,Cade senza supporto,يسقط بلا دعم,Падает без опоры
DISCOVERY_PROPERTY_FLOWS,Flows,流れる,흐름,可流动,可流動,Fließt,S'écoule,Fluye,Flui,Scorre,يتدفق,Растекается
DISCOVERY_PROPERTY_RARITY,Rarity,レア度,희귀도,稀有度,稀有度,Seltenheit,Rareté,Rareza,Raridade,Rarità,الندرة,Редкость
DISCOVERY_PROPERTY_DURABILITY,Durability,耐久度,내구도,耐久度,耐久度,Haltbarkeit,Durabilité,Durabilidad,Durabilidade,Durabilità,المتانة,Прочность
DISCOVERY_PROPERTY_CATEGORY,Type,種類,유형,类型,類型,Typ,Type,Tipo,Tipo,Tipo,النوع,Тип
DISCOVERY_PROPERTY_MINING_BONUS,Mining bonus,採掘ボーナス,채굴 보너스,采掘加成,採掘加成,Abbaubonus,Bonus de minage,Bono de minería,Bônus de mineração,Bonus estrazione,مكافأة التعدين,Бонус добычи
DISCOVERY_PROPERTY_DAMAGE,Damage,ダメージ,피해,伤害,傷害,Schaden,Dégâts,Daño,Dano,Danno,الضرر,Урон
ITEM_CATEGORY_MINING_TOOL,Mining tool,採掘道具,채굴 도구,采掘工具,採掘工具,Abbauwerkzeug,Outil de minage,Herramienta de minería,Ferramenta de mineração,Strumento da estrazione,أداة تعدين,Инструмент
ITEM_CATEGORY_WEAPON,Weapon,武器,무기,武器,武器,Waffe,Arme,Arma,Arma,Arma,سلاح,Оружие
ITEM_CATEGORY_HYBRID,Hybrid tool,複合道具,복합 도구,混合工具,混合工具,Hybridwerkzeug,Outil hybride,Herramienta híbrida,Ferramenta híbrida,Strumento ibrido,أداة هجينة,Гибрид
ITEM_CATEGORY_MOBILITY_TOOL,Mobility tool,移動道具,이동 도구,移动工具,移動工具,Bewegungswerkzeug,Outil de mobilité,Herramienta de movilidad,Ferramenta de mobilidade,Strumento di mobilità,أداة حركة,Инструмент передвижения
DISCOVERY_PROPERTY_MOVEMENT_BONUS,Movement speed,移動速度,이동 속도,移动速度,移動速度,Bewegungstempo,Vitesse de déplacement,Velocidad de movimiento,Velocidade de movimento,Velocità di movimento,سرعة الحركة,Скорость движения
DISCOVERY_PROPERTY_JUMP_BONUS,Jump power,ジャンプ力,점프력,跳跃力,跳躍力,Sprungkraft,Puissance de saut,Fuerza de salto,Força do salto,Potenza di salto,قوة القفز,Сила прыжка
ITEM_RARITY_COMMON,Common,コモン,일반,普通,普通,Gewöhnlich,Commun,Común,Comum,Comune,عادي,Обычная
ITEM_RARITY_UNCOMMON,Uncommon,アンコモン,고급,优秀,優秀,Ungewöhnlich,Inhabituel,Poco común,Incomum,Non comune,غير عادي,Необычная
ITEM_RARITY_RARE,Rare,レア,희귀,稀有,稀有,Selten,Rare,Rara,Raro,Raro,نادر,Редкая
ITEM_RARITY_EPIC,Epic,エピック,영웅,史诗,史詩,Episch,Épique,Épica,Épico,Epica,ملحمي,Эпическая
ITEM_RARITY_LEGENDARY,Legendary,レジェンド,전설,传说,傳說,Legendär,Légendaire,Legendaria,Lendário,Leggendaria,أسطوري,Легендарная
UI_SELECT_ITEM,Select an item,アイテムを選択,아이템 선택,选择物品,選擇物品,Gegenstand wählen,Sélectionnez un objet,Selecciona un objeto,Selecione um item,Seleziona un oggetto,اختر عنصرًا,Выберите предмет
WORLD_CREATE_FAILED,Could not create a new world.,新しいワールドを作成できませんでした。,새 월드를 만들 수 없습니다.,无法创建新世界。,無法建立新世界.,Neue Welt konnte nicht erstellt werden.,Impossible de créer un nouveau monde.,No se pudo crear un mundo nuevo.,Não foi possível criar um novo mundo.,Impossibile creare un nuovo mondo.,تعذر إنشاء عالم جديد.,Не удалось создать новый мир.
WORLD_LOAD_FAILED,The saved world could not be loaded.,保存されたワールドを読み込めませんでした。,저장된 월드를 불러올 수 없습니다.,无法加载已保存的世界。,無法載入已儲存的世界.,Die gespeicherte Welt konnte nicht geladen werden.,Impossible de charger le monde sauvegardé.,No se pudo cargar el mundo guardado.,Não foi possível carregar o mundo salvo.,Impossibile caricare il mondo salvato.,تعذر تحميل العالم المحفوظ.,Не удалось загрузить сохранённый мир.
WORLD_REPLACE_CONFIRM_BODY,Replace the current local world with a new one?,現在のローカルワールドを新しいワールドに置き換えますか？,현재 로컬 월드를 새 월드로 바꿀까요?,要用新世界替换当前本地世界吗？,要用新世界取代目前的本機世界嗎？,Die aktuelle lokale Welt durch eine neue ersetzen?,Remplacer le monde local actuel par un nouveau ?,¿Reemplazar el mundo local actual por uno nuevo?,Substituir o mundo local atual por um novo?,Sostituire il mondo locale attuale con uno nuovo?,هل تريد استبدال العالم المحلي الحالي بعالم جديد؟,Заменить текущий локальный мир новым?
UI_DISCOVER,Discover,発見,발견,发现,探索,Entdecken,Découvrir,Descubrir,Descobrir,Scopri,اكتشاف,Открыть
UI_NO_AVAILABLE_RECIPES,No recipes can be made with these items.,これらのアイテムで作れるレシピはありません。,이 아이템으로 만들 수 있는 제작법이 없습니다.,这些物品无法制作任何配方。,這些物品無法製作任何配方.,Mit diesen Gegenständen sind keine Rezepte möglich.,Aucune recette ne peut être réalisée avec ces objets.,No se puede elaborar ninguna receta con estos objetos.,Nenhuma receita pode ser criada com estes itens.,Nessuna ricetta può essere creata con questi oggetti.,لا توجد وصفات يمكن صنعها بهذه العناصر.,Из этих предметов сейчас ничего нельзя создать.
SPAWN_BUTTON_LABEL,Set spawn,リスポーン地点を設定,부활 지점 설정,设置重生点,設定重生點,Spawnpunkt setzen,Définir le point de réapparition,Establecer reaparición,Definir ponto de renascimento,Imposta punto di rinascita,تعيين نقطة العودة,Задать точку возрождения
SPAWN_SET_SUCCESS,Spawn point set!,リスポーン地点を設定しました！,부활 지점을 설정했어요!,重生点已设置！,重生點已設定！,Spawnpunkt gesetzt!,Point de réapparition défini !,¡Punto de reaparición establecido!,Ponto de renascimento definido!,Punto di rinascita impostato!,تم تعيين نقطة العودة!,Точка возрождения задана!
SPAWN_SET_COOLDOWN,Spawn can be changed in %s,リスポーン地点は%s後に変更できます。,부활 지점은 %s 후에 변경할 수 있어요.,可在%s后更改重生点,可在%s後變更重生點,Spawnpunkt kann in %s geändert werden,Le point peut être modifié dans %s,Podrás cambiarlo en %s,Poderá alterar em %s,Potrai cambiarlo tra %s,يمكن تغيير نقطة العودة بعد %s,Точку можно изменить через %s
SPAWN_SET_UNSAFE,Stand safely on solid ground first.,まず安全な固い地面に立ってください。,먼저 안전하고 단단한 바닥에 서세요.,请先安全地站在坚实地面上。,請先安全地站在堅實地面上。,Stelle dich zuerst sicher auf festen Boden.,Placez-vous d’abord en sécurité sur un sol ferme.,Ponte primero a salvo sobre suelo firme.,Fique primeiro em segurança sobre terreno sólido.,Mettiti prima al sicuro su un terreno solido.,قف بأمان على أرض صلبة أولا.,Сначала встаньте на безопасную твёрдую поверхность.
ENTITY_DESCRIPTION_GRASS,Living turf over plantable soil.,植物が育つ土を覆う生きた芝です。,식물을 키울 수 있는 흙을 덮은 살아 있는 잔디입니다.,覆盖可种植土壤的活草皮。,覆蓋可種植土壤的活草皮。,Lebender Rasen auf bepflanzbarer Erde.,Du gazon vivant sur un sol cultivable.,Césped vivo sobre tierra cultivable.,Relva viva sobre solo cultivável.,Erba viva su terreno coltivabile.,عشب حي فوق تربة صالحة للزراعة.,Живой дёрн на почве пригодной для растений.
ENTITY_DESCRIPTION_DIRT,Plantable soil used as the base for trees and other growth.,木や植物を育てる土台になる植えられる土です。,나무와 식물이 자라는 바탕이 되는 흙입니다.,可种植树木和其他植物的土壤。,可種植樹木和其他植物的土壤。,Bepflanzbare Erde als Grundlage für Bäume und andere Pflanzen.,Un sol cultivable servant de base aux arbres et autres plantes.,Tierra cultivable que sirve de base para árboles y otras plantas.,Solo cultivável que serve de base para árvores e outras plantas.,Terreno coltivabile usato come base per alberi e altre piante.,تربة صالحة للزراعة تنمو فيها الأشجار والنباتات.,Почва на которой могут расти деревья и другие растения.
ENTITY_DESCRIPTION_STONE,Dense hard rock that can be crushed into gravel.,砕くと砂利になる密度の高い硬い岩です。,부수면 자갈이 되는 단단하고 치밀한 암석입니다.,可粉碎成砾石的致密坚硬岩石。,可粉碎成礫石的緻密堅硬岩石。,Dichtes hartes Gestein das zu Kies zerkleinert werden kann.,Une roche dense et dure qui peut être concassée en gravier.,Roca densa y dura que puede triturarse para obtener grava.,Rocha densa e dura que pode ser triturada em cascalho.,Roccia densa e dura che può essere frantumata in ghiaia.,صخر كثيف وصلب يمكن سحقه إلى حصى.,Плотная твёрдая порода которую можно раздробить в гравий.
ENTITY_DESCRIPTION_WOOD,Flammable tree material that can become planks or charcoal.,板材に加工したり木炭にしたりできる燃えやすい木材です。,판자나 숯으로 만들 수 있는 불에 잘 타는 나무 재료입니다.,可制成木板或烧成木炭的易燃木材。,可製成木板或燒成木炭的易燃木材。,Brennbares Holz das zu Brettern oder Holzkohle werden kann.,Du bois inflammable qui peut devenir des planches ou du charbon.,Madera inflamable que puede convertirse en tablones o carbón vegetal.,Madeira inflamável que pode virar tábuas ou carvão vegetal.,Legno infiammabile che può diventare assi o carbone.,خشب قابل للاشتعال يمكن تحويله إلى ألواح أو فحم.,Горючая древесина из которой можно сделать доски или уголь.
ENTITY_DESCRIPTION_WATER,A cool flowing liquid that forms stone with lava and freezes in cold biomes.,溶岩と石を作り寒いバイオームでは凍る冷たい流体です。,용암과 만나 돌이 되고 추운 생물군계에서는 어는 차가운 액체입니다.,会流动的冷水。遇熔岩形成石头并在寒冷生物群系中结冰。,會流動的冷水。遇熔岩形成石頭並在寒冷生態域中結冰。,Eine kühle Flüssigkeit die mit Lava Stein bildet und in kalten Biomen gefriert.,Un liquide frais qui forme de la pierre avec la lave et gèle dans les biomes froids.,Un líquido frío que forma piedra con lava y se congela en biomas fríos.,Um líquido frio que forma pedra com lava e congela em biomas frios.,Un liquido freddo che forma pietra con la lava e gela nei biomi freddi.,سائل بارد يتدفق ويصنع الحجر مع الحمم ويتجمد في المناطق الباردة.,Холодная текучая жидкость которая создаёт камень с лавой и замерзает в холодных биомах.
ENTITY_DESCRIPTION_LAVA,A hot slow liquid that lights caves and ignites nearby flammable blocks.,洞窟を照らし近くの燃えやすいブロックに火をつける熱く遅い液体です。,동굴을 밝히고 근처의 가연성 블록에 불을 붙이는 뜨겁고 느린 액체입니다.,缓慢流动的高温液体。能照亮洞穴并点燃附近的易燃方块。,緩慢流動的高溫液體。能照亮洞穴並點燃附近的易燃方塊。,Eine heiße langsam fließende Flüssigkeit die Höhlen erhellt und Brennbares entzündet.,Un liquide chaud et lent qui éclaire les grottes et enflamme les blocs proches.,Un líquido caliente y lento que ilumina cuevas y prende bloques inflamables cercanos.,Um líquido quente e lento que ilumina cavernas e incendeia blocos próximos.,Un liquido caldo e lento che illumina le grotte e incendia i blocchi vicini.,سائل حار وبطيء يضيء الكهوف ويشعل الكتل القابلة للاحتراق القريبة.,Горячая медленная жидкость которая освещает пещеры и поджигает соседние горючие блоки.
ENTITY_DESCRIPTION_COBBLESTONE,Rough cooled rock formed when water meets lava. Four pieces compress into stone.,水と溶岩が触れてできる粗い岩です。4個で石になります。,물과 용암이 만나 생기는 거친 암석입니다. 네 개를 돌로 압축할 수 있습니다.,水与熔岩相遇形成的粗糙冷却岩石。四块可合成石头。,水與熔岩相遇形成的粗糙冷卻岩石。四塊可合成石頭。,Raues abgekühltes Gestein aus Wasser und Lava. Vier Stück werden zu Stein.,Une roche brute refroidie créée par l’eau et la lave. Quatre morceaux donnent de la pierre.,Roca áspera enfriada al mezclar agua y lava. Cuatro piezas forman piedra.,Rocha áspera resfriada quando água encontra lava. Quatro peças viram pedra.,Roccia grezza raffreddata quando acqua e lava si incontrano. Quattro pezzi formano pietra.,صخر خشن مبرد يتكون عند التقاء الماء والحمم. أربع قطع تصنع حجرا.,Грубая остывшая порода из воды и лавы. Четыре блока превращаются в камень.
ENTITY_DESCRIPTION_OBSIDIAN,Extremely hard volcanic glass made from stone water and lava.,石と水と溶岩から作る非常に硬い火山ガラスです。,돌과 물과 용암으로 만드는 매우 단단한 화산 유리입니다.,由石头水和熔岩制成的极硬火山玻璃。,由石頭水和熔岩製成的極硬火山玻璃。,Extrem hartes Vulkanglas aus Stein Wasser und Lava.,Un verre volcanique extrêmement dur fait de pierre d’eau et de lave.,Vidrio volcánico extremadamente duro hecho con piedra agua y lava.,Vidro vulcânico extremamente duro feito de pedra água e lava.,Vetro vulcanico estremamente duro creato da pietra acqua e lava.,زجاج بركاني شديد الصلابة مصنوع من الحجر والماء والحمم.,Очень твёрдое вулканическое стекло из камня воды и лавы.
ENTITY_DESCRIPTION_LEAVES,Soft flammable foliage that can be planted to grow a tree.,植えると木に育つ柔らかく燃えやすい葉です。,심으면 나무로 자라는 부드럽고 불에 잘 타는 잎입니다.,柔软易燃的树叶。种下后可以长成树。,柔軟易燃的樹葉。種下後可以長成樹。,Weiches brennbares Laub das gepflanzt zu einem Baum wächst.,Un feuillage tendre et inflammable qui peut pousser en arbre.,Follaje blando e inflamable que puede plantarse para hacer crecer un árbol.,Folhagem macia e inflamável que pode ser plantada para crescer uma árvore.,Fogliame morbido e infiammabile che può essere piantato per far crescere un albero.,أوراق طرية قابلة للاشتعال يمكن زراعتها لتنمو شجرة.,Мягкая горючая листва которую можно посадить и вырастить дерево.
ENTITY_DESCRIPTION_GRAVEL,Crushed stone that falls without support and can be ground into sand.,支えがないと落ち砂に砕ける石のかけらです。,지지대가 없으면 떨어지고 모래로 갈 수 있는 부순 돌입니다.,失去支撑会下落的碎石。可进一步磨成沙子。,失去支撐會下落的碎石。可進一步磨成沙子。,Zerkleinerter Stein der ohne Halt fällt und zu Sand gemahlen werden kann.,De la pierre concassée qui tombe sans support et peut devenir du sable.,Piedra triturada que cae sin apoyo y puede molerse para obtener arena.,Pedra triturada que cai sem apoio e pode ser moída em areia.,Pietra frantumata che cade senza sostegno e può diventare sabbia.,حجر مكسر يسقط دون دعم ويمكن طحنه إلى رمل.,Дроблёный камень который падает без опоры и перемалывается в песок.
ENTITY_DESCRIPTION_SAND,Fine loose grains that fall without support and melt with lava into glass.,支えがないと落ち溶岩で溶かすとガラスになる細かい砂です。,지지대가 없으면 떨어지고 용암과 녹이면 유리가 되는 고운 모래입니다.,失去支撑会下落的细小颗粒。与熔岩熔合可制成玻璃。,失去支撐會下落的細小顆粒。與熔岩熔合可製成玻璃。,Feine lose Körner die ohne Halt fallen und mit Lava zu Glas schmelzen.,De fins grains qui tombent sans support et fondent avec la lave pour donner du verre.,Granos finos que caen sin apoyo y se funden con lava para crear vidrio.,Grãos finos que caem sem apoio e derretem com lava para criar vidro.,Granelli fini che cadono senza sostegno e fondono con la lava in vetro.,حبيبات ناعمة تسقط دون دعم وتنصهر مع الحمم لتصبح زجاجا.,Мелкие сыпучие зёрна которые падают без опоры и плавятся с лавой в стекло.
ENTITY_DESCRIPTION_PLANKS,Flammable wooden boards used for building and crafting tools.,建築や道具作りに使う燃えやすい木の板です。,건축과 도구 제작에 쓰는 불에 잘 타는 나무 판자입니다.,用于建造和制作工具的易燃木板。,用於建造和製作工具的易燃木板。,Brennbare Holzbretter zum Bauen und Herstellen von Werkzeugen.,Des planches inflammables pour construire et fabriquer des outils.,Tablones inflamables para construir y fabricar herramientas.,Tábuas inflamáveis para construir e fabricar ferramentas.,Assi di legno infiammabili usate per costruire e creare strumenti.,ألواح خشبية قابلة للاشتعال تستخدم للبناء وصناعة الأدوات.,Горючие деревянные доски для строительства и создания инструментов.
